ratios_min,learning_rate,ratios_max,num_agents,clip_range,ratios_mean,approx_TV,num_epochs
1.0,0.0005,1.0,5,0.4,1.0,0.0,0
0.950853168964386,0.0005,1.0277372598648071,5,0.4,0.999737560749054,0.029670409858226776,1
0.9003984332084656,0.0005,1.0579973459243774,5,0.4,0.999459445476532,0.06148349493741989,2
0.8497734069824219,0.0005,1.08989679813385,5,0.4,0.9991732239723206,0.09438592195510864,3
0.7995239496231079,0.0005,1.1230213642120361,5,0.4,0.9988831877708435,0.128068745136261,4
0.7499086260795593,0.0005,1.1571390628814697,5,0.4,0.9985911250114441,0.1626657396554947,5
0.7012472748756409,0.0005,1.1921230554580688,5,0.4,0.998298168182373,0.19788412749767303,6
0.6543338894844055,0.0005,1.2280151844024658,5,0.4,0.9980049133300781,0.2337491363286972,7
0.6092530488967896,0.0005,1.2656306028366089,5,0.4,0.997710108757019,0.27014970779418945,8
0.5661452412605286,0.0005,1.3049479722976685,5,0.4,0.9974138736724854,0.307020366191864,9
0.5294966697692871,0.0005,1.3448047637939453,5,0.4,0.9971321821212769,0.34285545349121094,10
0.49958252906799316,0.0005,1.3841147422790527,5,0.4,0.9968683123588562,0.37737375497817993,11
0.47542738914489746,0.0005,1.4227328300476074,5,0.4,0.9966221451759338,0.4106209874153137,12
0.45593738555908203,0.0005,1.4607994556427002,5,0.4,0.996392548084259,0.44307342171669006,13
0.44140946865081787,0.0005,1.4961446523666382,5,0.4,0.9961877465248108,0.476753830909729,14
0.4282725155353546,0.0005,1.529051423072815,5,0.4,0.996004581451416,0.5093837976455688,15
0.41728469729423523,0.0005,1.5608060359954834,5,0.4,0.9958360195159912,0.5414175987243652,16
0.40894049406051636,0.0005,1.6066337823867798,5,0.4,0.9956779479980469,0.5720385313034058,17
0.40300795435905457,0.0005,1.6525870561599731,5,0.4,0.9955312609672546,0.6010248064994812,18
0.3993319272994995,0.0005,1.6970374584197998,5,0.4,0.9954092502593994,0.6272047758102417,19
0.3974030315876007,0.0005,1.7398993968963623,5,0.4,0.9953092932701111,0.6506870985031128,20
0.39734020829200745,0.0005,1.7812682390213013,5,0.4,0.9952276945114136,0.6715158820152283,21
0.3992079794406891,0.0005,1.8203717470169067,5,0.4,0.9951750040054321,0.68891441822052,22
0.4027652442455292,0.0005,1.8569728136062622,5,0.4,0.9951486587524414,0.7031369209289551,23
0.407929927110672,0.0005,1.8912180662155151,5,0.4,0.9951444864273071,0.7142022848129272,24
0.4144553542137146,0.0005,1.9201130867004395,5,0.4,0.9951779246330261,0.7215317487716675,25
0.422120600938797,0.0005,1.9436317682266235,5,0.4,0.9952433705329895,0.725425124168396,26
0.43028244376182556,0.0005,1.961014747619629,5,0.4,0.9953305125236511,0.7264516353607178,27
0.4388149380683899,0.0005,1.9730507135391235,5,0.4,0.995429277420044,0.7250314354896545,28
0.447565495967865,0.0005,1.980526328086853,5,0.4,0.9955259561538696,0.7221250534057617,29
0.4560362696647644,0.0005,1.9847103357315063,5,0.4,0.9956041574478149,0.7187141180038452,30
0.46400368213653564,0.0005,1.9862602949142456,5,0.4,0.9956578016281128,0.7148441076278687,31
0.46938657760620117,0.0005,1.986099362373352,5,0.4,0.9956788420677185,0.7112546563148499,32
0.46345439553260803,0.0005,1.9845030307769775,5,0.4,0.995675265789032,0.7091898918151855,33
0.45884189009666443,0.0005,1.9845138788223267,5,0.4,0.9956333637237549,0.7086666822433472,34
0.4553982615470886,0.0005,1.9867192506790161,5,0.4,0.9955580830574036,0.7097007036209106,35
0.45305806398391724,0.0005,1.9912848472595215,5,0.4,0.995448648929596,0.7127520442008972,36
0.45146146416664124,0.0005,1.998302698135376,5,0.4,0.9953096508979797,0.7179387807846069,37
0.45044827461242676,0.0005,2.0060348510742188,5,0.4,0.9951786398887634,0.7225654125213623,38
0.44997233152389526,0.0005,2.0145423412323,5,0.4,0.9950496554374695,0.7268176078796387,39
0.4454023241996765,0.0005,2.0212481021881104,5,0.4,0.9949251413345337,0.7302056550979614,40
0.4409722685813904,0.0005,2.0265350341796875,5,0.4,0.9948065280914307,0.7325954437255859,41
0.4380561411380768,0.0005,2.031085252761841,5,0.4,0.9946926832199097,0.7340668439865112,42
0.43654268980026245,0.0005,2.0350375175476074,5,0.4,0.9945676922798157,0.7355062961578369,43
0.43615496158599854,0.0005,2.050114870071411,5,0.4,0.9944254755973816,0.7373247742652893,44
0.43689674139022827,0.0005,2.06988263130188,5,0.4,0.9942737221717834,0.7391068339347839,45
0.43881189823150635,0.0005,2.086770534515381,5,0.4,0.9941204786300659,0.74013352394104,46
0.44150763750076294,0.0005,2.101808786392212,5,0.4,0.9939675331115723,0.7404725551605225,47
0.44535890221595764,0.0005,2.114955186843872,5,0.4,0.9938336610794067,0.7387843132019043,48
0.445884644985199,0.0005,2.1268036365509033,5,0.4,0.9937178492546082,0.7355577349662781,49
0.4379987418651581,0.0005,2.139021396636963,5,0.4,0.9936041235923767,0.7319725751876831,50
0.4309350252151489,0.0005,2.153965473175049,5,0.4,0.9934598207473755,0.730137825012207,51
0.42491087317466736,0.0005,2.1738533973693848,5,0.4,0.9932604432106018,0.7317253351211548,52
0.41965973377227783,0.0005,2.197434425354004,5,0.4,0.9930278658866882,0.7355270981788635,53
0.414750874042511,0.0005,2.2203564643859863,5,0.4,0.9928060173988342,0.738791823387146,54
0.40985623002052307,0.0005,2.2435474395751953,5,0.4,0.9926055073738098,0.7412019968032837,55
0.40477773547172546,0.0005,2.2673027515411377,5,0.4,0.9924300312995911,0.742527961730957,56
