learning_rate,ratios_min,num_epochs,ratios_mean,approx_TV,num_agents,ratios_max,clip_range
0.0005,1.0,0,1.0,0.0,5,1.0,0.4
0.0005,0.9731912016868591,1,0.9996491074562073,0.01818903163075447,5,1.029529094696045,0.4
0.0005,0.9444547891616821,2,0.9992616772651672,0.03832104429602623,5,1.0628283023834229,0.4
0.0005,0.9150775074958801,3,0.9988528490066528,0.05968886613845825,5,1.0985596179962158,0.4
0.0005,0.885599672794342,4,0.998428463935852,0.08197520673274994,5,1.1365200281143188,0.4
0.0005,0.8562557697296143,5,0.9979908466339111,0.10503067076206207,5,1.1765105724334717,0.4
0.0005,0.8270809054374695,6,0.9975406527519226,0.12879693508148193,5,1.2184637784957886,0.4
0.0005,0.7983396053314209,7,0.9970806241035461,0.1532057225704193,5,1.262325644493103,0.4
0.0005,0.7701021432876587,8,0.9966112971305847,0.17819403111934662,5,1.3079426288604736,0.4
0.0005,0.7423840761184692,9,0.9961357116699219,0.20380422472953796,5,1.3552905321121216,0.4
0.0005,0.7150541543960571,10,0.9956516027450562,0.23022180795669556,5,1.4045910835266113,0.4
0.0005,0.6882117390632629,11,0.9951584339141846,0.25738418102264404,5,1.4560719728469849,0.4
0.0005,0.6620762348175049,12,0.9946560859680176,0.28531110286712646,5,1.5095666646957397,0.4
0.0005,0.6366188526153564,13,0.9941440224647522,0.3140639066696167,5,1.5645626783370972,0.4
0.0005,0.6118203997612,14,0.9936220049858093,0.34370625019073486,5,1.6210283041000366,0.4
0.0005,0.5877368450164795,15,0.9930915832519531,0.37424832582473755,5,1.6787742376327515,0.4
0.0005,0.5652682781219482,16,0.9925541281700134,0.4056916832923889,5,1.7375469207763672,0.4
0.0005,0.5443338751792908,17,0.992014467716217,0.437980592250824,5,1.7968547344207764,0.4
0.0005,0.5216327905654907,18,0.991476833820343,0.4710094928741455,5,1.8557697534561157,0.4
0.0005,0.497618168592453,19,0.9909449815750122,0.5051036477088928,5,1.9133855104446411,0.4
0.0005,0.47529879212379456,20,0.9904263615608215,0.5402114391326904,5,1.9687602519989014,0.4
0.0005,0.45409634709358215,21,0.9898970127105713,0.5761605501174927,5,2.020671844482422,0.4
0.0005,0.4346207082271576,22,0.9893614649772644,0.6129558086395264,5,2.0684099197387695,0.4
0.0005,0.4165807366371155,23,0.9888219237327576,0.650471568107605,5,2.1121673583984375,0.4
0.0005,0.40000981092453003,24,0.9882825613021851,0.6886600255966187,5,2.1686136722564697,0.4
0.0005,0.38506051898002625,25,0.9877440929412842,0.7277668714523315,5,2.2222845554351807,0.4
0.0005,0.3714744448661804,26,0.9872049689292908,0.7671706080436707,5,2.271059036254883,0.4
0.0005,0.3592036962509155,27,0.9866666197776794,0.8065381050109863,5,2.3143723011016846,0.4
0.0005,0.34893858432769775,28,0.9861392974853516,0.8454269766807556,5,2.3489151000976562,0.4
0.0005,0.34054628014564514,29,0.9856298565864563,0.8834593892097473,5,2.374492645263672,0.4
0.0005,0.33378979563713074,30,0.9851362109184265,0.9205705523490906,5,2.3917994499206543,0.4
0.0005,0.32888975739479065,31,0.9846575856208801,0.9569324851036072,5,2.4020302295684814,0.4
0.0005,0.3256925642490387,32,0.9841894507408142,0.9920589923858643,5,2.4071805477142334,0.4
0.0005,0.32378360629081726,33,0.9837285280227661,1.0255136489868164,5,2.408146858215332,0.4
0.0005,0.3231668770313263,34,0.9832907319068909,1.058086633682251,5,2.4057223796844482,0.4
0.0005,0.32343757152557373,35,0.9828692674636841,1.0894789695739746,5,2.4013936519622803,0.4
0.0005,0.3243579864501953,36,0.9824573993682861,1.1194446086883545,5,2.39713716506958,0.4
0.0005,0.32577621936798096,37,0.9820521473884583,1.1481890678405762,5,2.392961025238037,0.4
0.0005,0.3276349604129791,38,0.981652557849884,1.1767284870147705,5,2.3891894817352295,0.4
0.0005,0.32977059483528137,39,0.9812623858451843,1.2065385580062866,5,2.385711669921875,0.4
0.0005,0.33214476704597473,40,0.9808768630027771,1.2348735332489014,5,2.38260555267334,0.4
0.0005,0.334676057100296,41,0.9805017113685608,1.262027382850647,5,2.381133556365967,0.4
0.0005,0.337407648563385,42,0.9801347851753235,1.288114309310913,5,2.3804168701171875,0.4
0.0005,0.3399727940559387,43,0.9797772765159607,1.3133044242858887,5,2.382728099822998,0.4
0.0005,0.3300611078739166,44,0.9794303178787231,1.337632656097412,5,2.3881192207336426,0.4
0.0005,0.320463091135025,45,0.9790893197059631,1.3614983558654785,5,2.397453546524048,0.4
0.0005,0.31103718280792236,46,0.9787358641624451,1.3853774070739746,5,2.410165786743164,0.4
0.0005,0.30160582065582275,47,0.978367269039154,1.4094667434692383,5,2.4240760803222656,0.4
0.0005,0.29227718710899353,48,0.9779663681983948,1.4335122108459473,5,2.4366893768310547,0.4
0.0005,0.28310883045196533,49,0.9775308966636658,1.4573571681976318,5,2.4476943016052246,0.4
0.0005,0.27403679490089417,50,0.9770594835281372,1.4813618659973145,5,2.457958459854126,0.4
0.0005,0.26542630791664124,51,0.9765676259994507,1.5050607919692993,5,2.467240810394287,0.4
0.0005,0.2573961913585663,52,0.9760659337043762,1.5273511409759521,5,2.47375226020813,0.4
0.0005,0.24993059039115906,53,0.9755710363388062,1.548048496246338,5,2.478079319000244,0.4
0.0005,0.24309036135673523,54,0.9750809073448181,1.5670785903930664,5,2.4829649925231934,0.4
0.0005,0.23695069551467896,55,0.9745941758155823,1.5843260288238525,5,2.4892590045928955,0.4
0.0005,0.2316545844078064,56,0.9741376042366028,1.5998730659484863,5,2.498601198196411,0.4
