learning_rate,ratios_min,ratios_max,num_epochs,ratios_mean,clip_range,num_agents,approx_TV
0.0004,1.0,1.0,0,1.0,0.3,5,0.0
0.0004,0.9771173000335693,1.0156890153884888,1,0.9999496340751648,0.3,5,0.022784583270549774
0.0004,0.9527326822280884,1.0329267978668213,2,0.9998971223831177,0.3,5,0.04782965034246445
0.0004,0.9278772473335266,1.0511149168014526,3,0.9998421669006348,0.3,5,0.07430221140384674
0.0004,0.9029313921928406,1.0700656175613403,4,0.999787449836731,0.3,5,0.10204242169857025
0.0004,0.8781481385231018,1.089651107788086,5,0.9997358322143555,0.3,5,0.13082802295684814
0.0004,0.8535159230232239,1.1098442077636719,6,0.9996862411499023,0.3,5,0.1607106477022171
0.0004,0.8290330767631531,1.130864143371582,7,0.9996401071548462,0.3,5,0.19164836406707764
0.0004,0.8048562407493591,1.1540135145187378,8,0.9995960593223572,0.3,5,0.22364294528961182
0.0004,0.7809928059577942,1.1779597997665405,9,0.9995542168617249,0.3,5,0.25677239894866943
0.0004,0.7574355602264404,1.202843427658081,10,0.9995154142379761,0.3,5,0.2910345494747162
0.0004,0.7342056035995483,1.2286816835403442,11,0.9994803071022034,0.3,5,0.3263588547706604
0.0004,0.7112993001937866,1.2554775476455688,12,0.9994493722915649,0.3,5,0.3629946708679199
0.0004,0.6887181401252747,1.2833906412124634,13,0.9994230270385742,0.3,5,0.40106838941574097
0.0004,0.6685202717781067,1.312580943107605,14,0.9994043707847595,0.3,5,0.44062384963035583
0.0004,0.6503745913505554,1.3420383930206299,15,0.9993898868560791,0.3,5,0.4808785319328308
0.0004,0.634243369102478,1.367812991142273,16,0.9993608593940735,0.3,5,0.5190050601959229
0.0004,0.6199058890342712,1.3897078037261963,17,0.9993131160736084,0.3,5,0.5546813607215881
0.0004,0.6074423789978027,1.4018827676773071,18,0.9992085099220276,0.3,5,0.5824092030525208
0.0004,0.5967653393745422,1.4306130409240723,19,0.9990465641021729,0.3,5,0.6024378538131714
0.0004,0.5875183939933777,1.4603968858718872,20,0.9988246560096741,0.3,5,0.6156195402145386
0.0004,0.5794498324394226,1.4916951656341553,21,0.9985513091087341,0.3,5,0.6223825812339783
0.0004,0.5729997754096985,1.524118185043335,22,0.9982497096061707,0.3,5,0.6240943670272827
0.0004,0.567982017993927,1.5573664903640747,23,0.9979296326637268,0.3,5,0.6215939521789551
0.0004,0.5646907687187195,1.5907267332077026,24,0.9976146221160889,0.3,5,0.6170583963394165
0.0004,0.5632327198982239,1.6243000030517578,25,0.9973230957984924,0.3,5,0.6120733022689819
0.0004,0.5634113550186157,1.6574236154556274,26,0.9970653057098389,0.3,5,0.6064727306365967
0.0004,0.565258800983429,1.689376711845398,27,0.996843159198761,0.3,5,0.6011873483657837
0.0004,0.5652942657470703,1.7193411588668823,28,0.9966602921485901,0.3,5,0.596363365650177
