num_agents,learning_rate,ratios_mean,ratios_max,clip_range,ratios_min,approx_TV,num_epochs
5,0.0005,0.9999999403953552,1.0,0.1,1.0,0.0,0
5,0.0005,0.9999976754188538,1.0275169610977173,0.1,0.9750160574913025,0.0380798801779747,1
5,0.0005,0.9999938011169434,1.0575875043869019,0.1,0.9485874772071838,0.07904863357543945,2
5,0.0005,0.9999903440475464,1.0890384912490845,0.1,0.9220438003540039,0.12130100280046463,3
5,0.0005,0.9999849796295166,1.1215457916259766,0.1,0.8958256840705872,0.16426026821136475,4
5,0.0005,0.9999655485153198,1.152906894683838,0.1,0.8710559010505676,0.20680828392505646,5
5,0.0005,0.999872624874115,1.1842888593673706,0.1,0.8521081805229187,0.24297049641609192,6
5,0.0005,0.9996945858001709,1.2139331102371216,0.1,0.8369468450546265,0.26795047521591187,7
5,0.0005,0.9994621276855469,1.2393863201141357,0.1,0.8263762593269348,0.2814274728298187,8
5,0.0005,0.9992550611495972,1.256668210029602,0.1,0.8206826448440552,0.28513798117637634,9
5,0.0005,0.99909508228302,1.2639521360397339,0.1,0.8196569085121155,0.2810540199279785,10
5,0.0005,0.9989894032478333,1.2627254724502563,0.1,0.8131957650184631,0.2718577980995178,11
5,0.0005,0.9989302158355713,1.2562158107757568,0.1,0.8130416870117188,0.2599095106124878,12
5,0.0005,0.9988867044448853,1.2576316595077515,0.1,0.8180233836174011,0.2478964924812317,13
5,0.0005,0.9988471269607544,1.2586466073989868,0.1,0.826153576374054,0.2365076243877411,14
5,0.0005,0.9988036751747131,1.258720874786377,0.1,0.8276373744010925,0.22659868001937866,15
5,0.0005,0.9987452626228333,1.258334755897522,0.1,0.8253430128097534,0.218202143907547,16
5,0.0005,0.9986779093742371,1.2580034732818604,0.1,0.8231611847877502,0.21185007691383362,17
5,0.0005,0.9986087083816528,1.257764458656311,0.1,0.817582368850708,0.2080441117286682,18
5,0.0005,0.9985525012016296,1.2574055194854736,0.1,0.8114409446716309,0.2075081765651703,19
5,0.0005,0.9985053539276123,1.2571020126342773,0.1,0.8050397634506226,0.21037766337394714,20
5,0.0005,0.9984738826751709,1.2569502592086792,0.1,0.7993452548980713,0.21501988172531128,21
5,0.0005,0.9984522461891174,1.257115364074707,0.1,0.7949968576431274,0.21979060769081116,22
5,0.0005,0.9984384179115295,1.2571536302566528,0.1,0.7926692962646484,0.223605215549469,23
5,0.0005,0.9984203577041626,1.257131814956665,0.1,0.790034830570221,0.22517216205596924,24
5,0.0005,0.9983989000320435,1.2566701173782349,0.1,0.7863900661468506,0.2252872884273529,25
