clip_range,num_epochs,approx_TV,ratios_max,num_agents,ratios_min,learning_rate,ratios_mean
0.1,0,0.0,1.0,5,1.0,0.0002,1.0
0.1,1,0.011364340782165527,1.0078229904174805,5,0.98851478099823,0.0002,0.9999747276306152
0.1,2,0.023795880377292633,1.016443133354187,5,0.9761696457862854,0.0002,0.9999477863311768
0.1,3,0.036827728152275085,1.0254521369934082,5,0.9634342789649963,0.0002,0.9999205470085144
0.1,4,0.05029429495334625,1.0347479581832886,5,0.9505158066749573,0.0002,0.99989253282547
0.1,5,0.06413418799638748,1.0442918539047241,5,0.9375112056732178,0.0002,0.9998639822006226
0.1,6,0.07833810150623322,1.0540554523468018,5,0.924477756023407,0.0002,0.9998356699943542
0.1,7,0.09287430346012115,1.064018726348877,5,0.9114460349082947,0.0002,0.9998072981834412
0.1,8,0.10772553831338882,1.0741655826568604,5,0.8984606266021729,0.0002,0.9997796416282654
0.1,9,0.12289321422576904,1.0844156742095947,5,0.8868517875671387,0.0002,0.9997552037239075
0.1,10,0.1384172886610031,1.094710350036621,5,0.8769925236701965,0.0002,0.9997349381446838
0.1,11,0.1543375551700592,1.1049940586090088,5,0.8689401745796204,0.0002,0.9997183680534363
0.1,12,0.17011764645576477,1.115926742553711,5,0.8626416921615601,0.0002,0.9997028708457947
0.1,13,0.1848527193069458,1.1257009506225586,5,0.8577084541320801,0.0002,0.9996843934059143
0.1,14,0.19634327292442322,1.1353462934494019,5,0.8538108468055725,0.0002,0.9996488094329834
0.1,15,0.20416665077209473,1.145553708076477,5,0.8510848879814148,0.0002,0.9995915293693542
0.1,16,0.20889872312545776,1.1556761264801025,5,0.8493549823760986,0.0002,0.9995155334472656
0.1,17,0.21101775765419006,1.1655834913253784,5,0.8487212061882019,0.0002,0.9994249939918518
0.1,18,0.21107375621795654,1.1751984357833862,5,0.8486009836196899,0.0002,0.9993255734443665
0.1,19,0.20943763852119446,1.1844004392623901,5,0.846805989742279,0.0002,0.9992263913154602
0.1,20,0.20715837180614471,1.1930888891220093,5,0.845737099647522,0.0002,0.9991359114646912
0.1,21,0.20512638986110687,1.2011953592300415,5,0.8449752330780029,0.0002,0.9990575313568115
0.1,22,0.20294788479804993,1.2086988687515259,5,0.8444173336029053,0.0002,0.9989916086196899
0.1,23,0.2010500282049179,1.2154899835586548,5,0.8440614938735962,0.0002,0.9989388585090637
0.1,24,0.19946031272411346,1.2215766906738281,5,0.8440789580345154,0.0002,0.9988987445831299
0.1,25,0.19828370213508606,1.2268098592758179,5,0.8441435694694519,0.0002,0.9988723993301392
0.1,26,0.1975998729467392,1.2311689853668213,5,0.844617486000061,0.0002,0.9988595247268677
0.1,27,0.1977197825908661,1.2346826791763306,5,0.8451319932937622,0.0002,0.9988553524017334
0.1,28,0.19857950508594513,1.2374138832092285,5,0.8459939956665039,0.0002,0.9988564848899841
0.1,29,0.19966235756874084,1.239545226097107,5,0.8470419049263,0.0002,0.9988582134246826
0.1,30,0.20092427730560303,1.241442322731018,5,0.8483561873435974,0.0002,0.998856246471405
0.1,31,0.20241230726242065,1.24308180809021,5,0.8493838906288147,0.0002,0.9988492727279663
0.1,32,0.20406994223594666,1.244504451751709,5,0.8476398587226868,0.0002,0.9988375902175903
0.1,33,0.2060045748949051,1.245678424835205,5,0.8459254503250122,0.0002,0.9988224506378174
0.1,34,0.2078680396080017,1.2467608451843262,5,0.8440948724746704,0.0002,0.9988027215003967
0.1,35,0.20966915786266327,1.2477638721466064,5,0.8421494364738464,0.0002,0.9987799525260925
0.1,36,0.21145527064800262,1.2487355470657349,5,0.8401065468788147,0.0002,0.9987536072731018
0.1,37,0.21276627480983734,1.2496707439422607,5,0.8379212021827698,0.0002,0.9987236261367798
0.1,38,0.21349909901618958,1.25064218044281,5,0.8357031941413879,0.0002,0.9986892938613892
0.1,39,0.21377071738243103,1.2520402669906616,5,0.8335081338882446,0.0002,0.9986482858657837
0.1,40,0.21329665184020996,1.2540839910507202,5,0.8313208818435669,0.0002,0.9986001253128052
0.1,41,0.21239107847213745,1.2569764852523804,5,0.8292437791824341,0.0002,0.9985445141792297
0.1,42,0.211556077003479,1.2605369091033936,5,0.8274069428443909,0.0002,0.9984826445579529
0.1,43,0.21057239174842834,1.2643970251083374,5,0.8261039853096008,0.0002,0.9984163641929626
0.1,44,0.20969340205192566,1.268378496170044,5,0.825230598449707,0.0002,0.998348593711853
0.1,45,0.20932886004447937,1.2724692821502686,5,0.8247559070587158,0.0002,0.9982818365097046
0.1,46,0.20941832661628723,1.2766108512878418,5,0.8246041536331177,0.0002,0.9982163906097412
0.1,47,0.2100304365158081,1.280687928199768,5,0.8247005343437195,0.0002,0.9981541037559509
0.1,48,0.21080470085144043,1.2848206758499146,5,0.8246151804924011,0.0002,0.9980910420417786
0.1,49,0.2115098387002945,1.2890347242355347,5,0.824268639087677,0.0002,0.9980259537696838
0.1,50,0.21190205216407776,1.2933954000473022,5,0.823722243309021,0.0002,0.9979579448699951
0.1,51,0.21252739429473877,1.2975674867630005,5,0.823002278804779,0.0002,0.9978901743888855
0.1,52,0.2138301432132721,1.3016326427459717,5,0.8221356272697449,0.0002,0.9978234767913818
0.1,53,0.2156728357076645,1.3055493831634521,5,0.8210320472717285,0.0002,0.9977653622627258
0.1,54,0.21787527203559875,1.3093655109405518,5,0.8197823166847229,0.0002,0.9977142214775085
0.1,55,0.22002685070037842,1.3129560947418213,5,0.8178151249885559,0.0002,0.9976677894592285
0.1,56,0.22203129529953003,1.3162894248962402,5,0.8155826926231384,0.0002,0.9976261854171753
0.1,57,0.22351768612861633,1.319432020187378,5,0.8135902881622314,0.0002,0.9975835680961609
0.1,58,0.22451439499855042,1.322411060333252,5,0.8118812441825867,0.0002,0.9975364804267883
0.1,59,0.2251986563205719,1.3252402544021606,5,0.8102912902832031,0.0002,0.9974873065948486
0.1,60,0.22565682232379913,1.3280531167984009,5,0.8087703585624695,0.0002,0.9974352121353149
0.1,61,0.22635193169116974,1.331020474433899,5,0.8070481419563293,0.0002,0.9973850846290588
0.1,62,0.227690190076828,1.3341269493103027,5,0.8051124811172485,0.0002,0.9973372220993042
0.1,63,0.22948673367500305,1.3372446298599243,5,0.8029838800430298,0.0002,0.9972940683364868
0.1,64,0.2316170632839203,1.3400561809539795,5,0.8009796142578125,0.0002,0.9972559213638306
0.1,65,0.23365814983844757,1.3425062894821167,5,0.7991482615470886,0.0002,0.9972196221351624
0.1,66,0.2356499582529068,1.3448432683944702,5,0.7975239157676697,0.0002,0.9971838593482971
0.1,67,0.2376326620578766,1.3469432592391968,5,0.7960990071296692,0.0002,0.9971479177474976
0.1,68,0.23936685919761658,1.3488686084747314,5,0.7947249412536621,0.0002,0.9971106648445129
0.1,69,0.24102208018302917,1.3508397340774536,5,0.7934224009513855,0.0002,0.9970729351043701
0.1,70,0.24257004261016846,1.3528473377227783,5,0.79216468334198,0.0002,0.9970331788063049
0.1,71,0.2441476434469223,1.3547323942184448,5,0.7909240126609802,0.0002,0.9969930648803711
0.1,72,0.2458449751138687,1.3564549684524536,5,0.7895234227180481,0.0002,0.9969520568847656
0.1,73,0.24767187237739563,1.3577641248703003,5,0.7878301739692688,0.0002,0.996912956237793
0.1,74,0.2496299296617508,1.3587663173675537,5,0.7857391834259033,0.0002,0.996874213218689
