ratios_max,num_agents,ratios_min,approx_TV,num_epochs,ratios_mean,clip_range,learning_rate
1.0,5,1.0,0.0,0,1.0,0.5,0.0005
1.042585849761963,5,0.9585182666778564,0.029519766569137573,1,0.9991359114646912,0.5,0.0005
1.0900839567184448,5,0.9150757193565369,0.061475880444049835,2,0.9982043504714966,0.5,0.0005
1.1412146091461182,5,0.8712630867958069,0.0947219654917717,3,0.9972363114356995,0.5,0.0005
1.1956851482391357,5,0.827775239944458,0.12889724969863892,4,0.9962466359138489,0.5,0.0005
1.2538410425186157,5,0.7847844362258911,0.1638663113117218,5,0.9952384829521179,0.5,0.0005
1.315353512763977,5,0.7425431609153748,0.19952547550201416,6,0.9942129850387573,0.5,0.0005
1.3805904388427734,5,0.7011813521385193,0.23583433032035828,7,0.993170440196991,0.5,0.0005
1.4497746229171753,5,0.6607434153556824,0.2728000283241272,8,0.9921112656593323,0.5,0.0005
1.5230740308761597,5,0.6212229132652283,0.31040453910827637,9,0.9910379648208618,0.5,0.0005
1.6006684303283691,5,0.5827030539512634,0.34866058826446533,10,0.9899489879608154,0.5,0.0005
1.6827566623687744,5,0.5450470447540283,0.3878476619720459,11,0.9888428449630737,0.5,0.0005
1.7694660425186157,5,0.5082306265830994,0.42778682708740234,12,0.9877191185951233,0.5,0.0005
1.8608900308609009,5,0.47262176871299744,0.46851152181625366,13,0.9865760803222656,0.5,0.0005
1.9564634561538696,5,0.43915367126464844,0.5102541446685791,14,0.9854186177253723,0.5,0.0005
2.053969621658325,5,0.4091522991657257,0.5528674125671387,15,0.9842643141746521,0.5,0.0005
2.152588367462158,5,0.38224631547927856,0.595419704914093,16,0.9831238985061646,0.5,0.0005
2.2515454292297363,5,0.3583010137081146,0.6375377774238586,17,0.9820108413696289,0.5,0.0005
2.349888324737549,5,0.33708271384239197,0.6788455247879028,18,0.9809414148330688,0.5,0.0005
2.4470298290252686,5,0.3182052969932556,0.719221830368042,19,0.9799156188964844,0.5,0.0005
2.540299892425537,5,0.30205199122428894,0.7575653791427612,20,0.9789596796035767,0.5,0.0005
2.6269543170928955,5,0.28914040327072144,0.7920383214950562,21,0.9780938029289246,0.5,0.0005
2.707085371017456,5,0.2788804769515991,0.8222492933273315,22,0.9773098230361938,0.5,0.0005
2.7811663150787354,5,0.2709566354751587,0.8480184674263,23,0.97659832239151,0.5,0.0005
2.848043918609619,5,0.265342652797699,0.8689267635345459,24,0.9759641289710999,0.5,0.0005
2.9080393314361572,5,0.261710524559021,0.8850371837615967,25,0.97539222240448,0.5,0.0005
2.9604878425598145,5,0.2600768804550171,0.8964446783065796,26,0.9748801589012146,0.5,0.0005
3.005695104598999,5,0.2600148022174835,0.9041144847869873,27,0.9744102358818054,0.5,0.0005
3.046457052230835,5,0.26174211502075195,0.9077656865119934,28,0.9739888310432434,0.5,0.0005
3.0823652744293213,5,0.26508164405822754,0.9083666801452637,29,0.9736089110374451,0.5,0.0005
3.1097288131713867,5,0.2700044810771942,0.9059652090072632,30,0.973268985748291,0.5,0.0005
3.128281831741333,5,0.2764565348625183,0.9010905027389526,31,0.9729712605476379,0.5,0.0005
3.139540433883667,5,0.2818433940410614,0.8939335346221924,32,0.9727096557617188,0.5,0.0005
3.143663167953491,5,0.2817370593547821,0.8845659494400024,33,0.9724871516227722,0.5,0.0005
3.142812967300415,5,0.28225070238113403,0.8737707138061523,34,0.9722913503646851,0.5,0.0005
3.1602184772491455,5,0.2832275331020355,0.861671507358551,35,0.9721100330352783,0.5,0.0005
3.181643009185791,5,0.2845873236656189,0.8612232208251953,36,0.971936047077179,0.5,0.0005
3.2041611671447754,5,0.28626924753189087,0.8657901287078857,37,0.9717627167701721,0.5,0.0005
3.2273175716400146,5,0.2883282005786896,0.8721489906311035,38,0.9715933203697205,0.5,0.0005
3.252640724182129,5,0.29066288471221924,0.8789166212081909,39,0.97141033411026,0.5,0.0005
3.279592514038086,5,0.29319697618484497,0.8862598538398743,40,0.9712096452713013,0.5,0.0005
3.3097212314605713,5,0.2958538234233856,0.8947761654853821,41,0.9709752798080444,0.5,0.0005
3.3429315090179443,5,0.2986541986465454,0.9046804904937744,42,0.9707069993019104,0.5,0.0005
3.380140781402588,5,0.30152642726898193,0.9162416458129883,43,0.9703975319862366,0.5,0.0005
3.4202747344970703,5,0.3045804798603058,0.9290234446525574,44,0.9700514674186707,0.5,0.0005
3.4648633003234863,5,0.3076555132865906,0.943619430065155,45,0.969653844833374,0.5,0.0005
3.5125198364257812,5,0.31063681840896606,0.9598231315612793,46,0.9692076444625854,0.5,0.0005
3.5661165714263916,5,0.3133741319179535,0.977887749671936,47,0.9687089920043945,0.5,0.0005
3.6240670680999756,5,0.3160618543624878,0.9961841106414795,48,0.9681763648986816,0.5,0.0005
3.6845896244049072,5,0.3136581778526306,1.0141887664794922,49,0.9676251411437988,0.5,0.0005
3.7457692623138428,5,0.3114626705646515,1.0316325426101685,50,0.9670631289482117,0.5,0.0005
3.806591033935547,5,0.3097585141658783,1.0498336553573608,51,0.9664930105209351,0.5,0.0005
3.8678019046783447,5,0.30836522579193115,1.0690836906433105,52,0.9659161567687988,0.5,0.0005
3.928086280822754,5,0.29666897654533386,1.087435245513916,53,0.9653325080871582,0.5,0.0005
3.9867639541625977,5,0.2858348786830902,1.10520601272583,54,0.9647442102432251,0.5,0.0005
4.045432090759277,5,0.27581852674484253,1.123380184173584,55,0.964142918586731,0.5,0.0005
4.103806495666504,5,0.2666305899620056,1.1418159008026123,56,0.9635164141654968,0.5,0.0005
