num_epochs,ratios_max,ratios_mean,learning_rate,approx_TV,ratios_min,num_agents,clip_range
0,1.0,1.0,0.0001,0.0,1.0,5,0.3
1,1.0039067268371582,0.9999873638153076,0.0001,0.005676455795764923,0.9942461252212524,5,0.3
2,1.008194923400879,0.999973714351654,0.0001,0.011864051222801208,0.9880316257476807,5,0.3
3,1.012698769569397,0.9999597072601318,0.0001,0.01833624392747879,0.981595516204834,5,0.3
4,1.017345666885376,0.9999455213546753,0.0001,0.025002144277095795,0.9750235676765442,5,0.3
5,1.022073745727539,0.9999313354492188,0.0001,0.03181709349155426,0.9683631062507629,5,0.3
6,1.0268791913986206,0.9999169707298279,0.0001,0.038753360509872437,0.9616525173187256,5,0.3
7,1.0317589044570923,0.9999023675918579,0.0001,0.04579756408929825,0.9549110531806946,5,0.3
8,1.0367066860198975,0.9998875260353088,0.0001,0.052935972809791565,0.9481487274169922,5,0.3
9,1.0417163372039795,0.9998726844787598,0.0001,0.06017798185348511,0.9413766860961914,5,0.3
10,1.0467844009399414,0.9998580813407898,0.0001,0.06751672923564911,0.9346026182174683,5,0.3
11,1.0519083738327026,0.9998433589935303,0.0001,0.07495874911546707,0.9278331995010376,5,0.3
12,1.0570851564407349,0.9998287558555603,0.0001,0.08248908817768097,0.9210715889930725,5,0.3
13,1.0623146295547485,0.9998141527175903,0.0001,0.09010753780603409,0.9143213629722595,5,0.3
14,1.0675936937332153,0.999799907207489,0.0001,0.0978209525346756,0.907586395740509,5,0.3
15,1.0729265213012695,0.999785840511322,0.0001,0.10561642050743103,0.9008798003196716,5,0.3
16,1.0783029794692993,0.9997721910476685,0.0001,0.11348292976617813,0.8941935300827026,5,0.3
17,1.0837316513061523,0.999758780002594,0.0001,0.12141828238964081,0.8875263333320618,5,0.3
18,1.0892055034637451,0.9997460842132568,0.0001,0.12944115698337555,0.8808816075325012,5,0.3
19,1.0947307348251343,0.9997333884239197,0.0001,0.1375643014907837,0.8742587566375732,5,0.3
20,1.1003098487854004,0.9997209906578064,0.0001,0.14579127728939056,0.8676566481590271,5,0.3
21,1.1059430837631226,0.9997087717056274,0.0001,0.15411490201950073,0.8610744476318359,5,0.3
22,1.111631989479065,0.9996970295906067,0.0001,0.16252677142620087,0.8545058965682983,5,0.3
23,1.1173752546310425,0.9996856451034546,0.0001,0.17103183269500732,0.8479475378990173,5,0.3
24,1.123226523399353,0.9996746778488159,0.0001,0.1796383261680603,0.8413968682289124,5,0.3
25,1.1295703649520874,0.9996636509895325,0.0001,0.18834072351455688,0.8348695635795593,5,0.3
26,1.1360026597976685,0.9996529817581177,0.0001,0.1971437633037567,0.8283640742301941,5,0.3
27,1.1425244808197021,0.9996423125267029,0.0001,0.20604771375656128,0.8218902945518494,5,0.3
28,1.149109959602356,0.9996318221092224,0.0001,0.21504774689674377,0.8154394030570984,5,0.3
29,1.15578031539917,0.999621570110321,0.0001,0.22416354715824127,0.8090060353279114,5,0.3
30,1.1625359058380127,0.9996113181114197,0.0001,0.23337608575820923,0.8025899529457092,5,0.3
31,1.1693496704101562,0.9996013045310974,0.0001,0.24271036684513092,0.7961920499801636,5,0.3
32,1.1762274503707886,0.9995917081832886,0.0001,0.25215035676956177,0.7898163795471191,5,0.3
33,1.1831990480422974,0.9995825886726379,0.0001,0.26169151067733765,0.7834603786468506,5,0.3
34,1.1902676820755005,0.999573826789856,0.0001,0.2713411748409271,0.7771221995353699,5,0.3
35,1.19743812084198,0.9995653629302979,0.0001,0.2810981869697571,0.7708032727241516,5,0.3
36,1.2047114372253418,0.9995570778846741,0.0001,0.2909661829471588,0.7645002007484436,5,0.3
37,1.2120872735977173,0.9995489716529846,0.0001,0.30094337463378906,0.758213222026825,5,0.3
38,1.2195584774017334,0.999541163444519,0.0001,0.3110329806804657,0.7519387006759644,5,0.3
39,1.2271298170089722,0.9995335340499878,0.0001,0.32125404477119446,0.7456784248352051,5,0.3
40,1.2347848415374756,0.9995262026786804,0.0001,0.33162206411361694,0.7394338846206665,5,0.3
41,1.2425425052642822,0.9995191097259521,0.0001,0.3421486020088196,0.7332050204277039,5,0.3
42,1.2504160404205322,0.999512255191803,0.0001,0.3528055250644684,0.726993203163147,5,0.3
43,1.258374571800232,0.9995054006576538,0.0001,0.36360734701156616,0.7208011150360107,5,0.3
44,1.2664365768432617,0.9994989633560181,0.0001,0.37455475330352783,0.7146227955818176,5,0.3
45,1.2745882272720337,0.9994927644729614,0.0001,0.38565921783447266,0.7084593176841736,5,0.3
46,1.2828432321548462,0.9994868636131287,0.0001,0.39690691232681274,0.7023119330406189,5,0.3
47,1.2912137508392334,0.9994813203811646,0.0001,0.408306360244751,0.6961809396743774,5,0.3
48,1.299719214439392,0.999476432800293,0.0001,0.41985732316970825,0.6902858018875122,5,0.3
49,1.3083745241165161,0.9994722604751587,0.0001,0.4316149652004242,0.6848066449165344,5,0.3
50,1.3168681859970093,0.9994683265686035,0.0001,0.44331425428390503,0.6798335909843445,5,0.3
51,1.32509446144104,0.999464213848114,0.0001,0.45487141609191895,0.6753636598587036,5,0.3
52,1.3325952291488647,0.9994571208953857,0.0001,0.4659545123577118,0.6712905764579773,5,0.3
53,1.3394505977630615,0.9994476437568665,0.0001,0.4766363501548767,0.6675571799278259,5,0.3
54,1.3454738855361938,0.999434769153595,0.0001,0.48675939440727234,0.6640981435775757,5,0.3
55,1.3505994081497192,0.9994186162948608,0.0001,0.4962558150291443,0.6610286831855774,5,0.3
56,1.354904294013977,0.9993993639945984,0.0001,0.5051788091659546,0.6582919359207153,5,0.3
57,1.3592449426651,0.999376118183136,0.0001,0.5135558843612671,0.6558360457420349,5,0.3
