clip_range,num_epochs,approx_TV,num_agents,ratios_min,ratios_max,learning_rate,ratios_mean
0.2,0,0.0,5,1.0,1.0,0.0003,0.9999999403953552
0.2,1,0.022869281470775604,5,0.9849377870559692,1.0164885520935059,0.0003,0.9999985694885254
0.2,2,0.04757958650588989,5,0.9687720537185669,1.0344631671905518,0.0003,0.9999966621398926
0.2,3,0.07316061109304428,5,0.9522541761398315,1.0532760620117188,0.0003,0.9999943375587463
0.2,4,0.09924967586994171,5,0.9356932640075684,1.0726341009140015,0.0003,0.9999921917915344
0.2,5,0.12566548585891724,5,0.9192305207252502,1.0924125909805298,0.0003,0.9999899864196777
0.2,6,0.1522950977087021,5,0.9029383659362793,1.11256742477417,0.0003,0.9999866485595703
0.2,7,0.17903722822666168,5,0.8869001269340515,1.1330385208129883,0.0003,0.9999832510948181
0.2,8,0.20580211281776428,5,0.871252179145813,1.1540188789367676,0.0003,0.9999803900718689
0.2,9,0.23255668580532074,5,0.8559324145317078,1.1769357919692993,0.0003,0.9999784231185913
0.2,10,0.25933441519737244,5,0.8396836519241333,1.2006796598434448,0.0003,0.9999768733978271
0.2,11,0.2860048711299896,5,0.8236466646194458,1.2237334251403809,0.0003,0.99997478723526
0.2,12,0.31252747774124146,5,0.8081595301628113,1.244368076324463,0.0003,0.9999710917472839
0.2,13,0.3387669324874878,5,0.7936244606971741,1.2643892765045166,0.0003,0.9999594688415527
0.2,14,0.3643529713153839,5,0.7801030874252319,1.28557288646698,0.0003,0.9999330043792725
0.2,15,0.3882552981376648,5,0.7674786448478699,1.3022303581237793,0.0003,0.9998767971992493
0.2,16,0.41001075506210327,5,0.7559235692024231,1.3148579597473145,0.0003,0.9997902512550354
0.2,17,0.4296044111251831,5,0.7454227805137634,1.3339979648590088,0.0003,0.9996731281280518
0.2,18,0.44701892137527466,5,0.7361387610435486,1.3529516458511353,0.0003,0.9995275139808655
0.2,19,0.46181976795196533,5,0.7285405993461609,1.3712071180343628,0.0003,0.9993645548820496
0.2,20,0.4738836884498596,5,0.7224859595298767,1.3885549306869507,0.0003,0.9991902112960815
0.2,21,0.48302698135375977,5,0.7177256345748901,1.4048962593078613,0.0003,0.9990033507347107
0.2,22,0.4895309805870056,5,0.7140900492668152,1.422670841217041,0.0003,0.9988144040107727
0.2,23,0.49386048316955566,5,0.7114546895027161,1.4431060552597046,0.0003,0.9986324310302734
0.2,24,0.4961530864238739,5,0.7096192836761475,1.4610015153884888,0.0003,0.9984661340713501
0.2,25,0.4967058002948761,5,0.7060324549674988,1.4762297868728638,0.0003,0.9983240962028503
0.2,26,0.49591177701950073,5,0.6979101896286011,1.4888685941696167,0.0003,0.9982107281684875
0.2,27,0.4939642548561096,5,0.6915215849876404,1.4993205070495605,0.0003,0.9981242418289185
0.2,28,0.49132096767425537,5,0.6870359778404236,1.5079138278961182,0.0003,0.9980606436729431
0.2,29,0.48834142088890076,5,0.6844854950904846,1.5152140855789185,0.0003,0.9980152249336243
0.2,30,0.48536017537117004,5,0.6840066313743591,1.5213552713394165,0.0003,0.9979850649833679
0.2,31,0.4828062653541565,5,0.6855164766311646,1.527019739151001,0.0003,0.9979612231254578
0.2,32,0.48059141635894775,5,0.6885251402854919,1.5322941541671753,0.0003,0.9979364275932312
0.2,33,0.4788127541542053,5,0.6920788884162903,1.5375715494155884,0.0003,0.9979059100151062
0.2,34,0.47703462839126587,5,0.6955254077911377,1.542176604270935,0.0003,0.9978677034378052
0.2,35,0.47510719299316406,5,0.6944165229797363,1.5463676452636719,0.0003,0.9978179335594177
0.2,36,0.473032683134079,5,0.6903883814811707,1.550633192062378,0.0003,0.9977518320083618
0.2,37,0.4711924195289612,5,0.6853655576705933,1.5547683238983154,0.0003,0.9976742267608643
0.2,38,0.46950995922088623,5,0.6797066926956177,1.5588244199752808,0.0003,0.997590959072113
0.2,39,0.4680178165435791,5,0.6741232872009277,1.5625559091567993,0.0003,0.9975125193595886
0.2,40,0.4667072892189026,5,0.6689008474349976,1.5657061338424683,0.0003,0.997445285320282
0.2,41,0.46591922640800476,5,0.6645704507827759,1.5687446594238281,0.0003,0.9973922967910767
0.2,42,0.4657514989376068,5,0.6613523960113525,1.5713268518447876,0.0003,0.9973599314689636
0.2,43,0.46554937958717346,5,0.6589275598526001,1.5730741024017334,0.0003,0.9973440170288086
0.2,44,0.4652990996837616,5,0.6569907665252686,1.5738285779953003,0.0003,0.9973469972610474
0.2,45,0.4654161334037781,5,0.6547173857688904,1.5743627548217773,0.0003,0.9973545670509338
0.2,46,0.46590563654899597,5,0.6517391204833984,1.574793815612793,0.0003,0.997355580329895
0.2,47,0.4659649729728699,5,0.6484407782554626,1.574864149093628,0.0003,0.997347891330719
0.2,48,0.46559441089630127,5,0.644853413105011,1.5745213031768799,0.0003,0.997333824634552
0.2,49,0.46501442790031433,5,0.6411279439926147,1.573715090751648,0.0003,0.9973133206367493
0.2,50,0.46418818831443787,5,0.6384813785552979,1.571284294128418,0.0003,0.997292697429657
0.2,51,0.463308185338974,5,0.637041449546814,1.5671335458755493,0.0003,0.9972774386405945
0.2,52,0.46300917863845825,5,0.6369390487670898,1.561258316040039,0.0003,0.9972769021987915
0.2,53,0.4633684754371643,5,0.6375978589057922,1.5544369220733643,0.0003,0.9972875118255615
0.2,54,0.4635874927043915,5,0.6386122107505798,1.5477097034454346,0.0003,0.9972992539405823
0.2,55,0.46388399600982666,5,0.6393179297447205,1.5417842864990234,0.0003,0.9973064661026001
0.2,56,0.463980495929718,5,0.6394288539886475,1.5372332334518433,0.0003,0.9972975850105286
0.2,57,0.46335506439208984,5,0.6388458609580994,1.5398038625717163,0.0003,0.9972700476646423
0.2,58,0.46213299036026,5,0.6372340321540833,1.5459864139556885,0.0003,0.9972243309020996
0.2,59,0.4605960249900818,5,0.6346980333328247,1.553532600402832,0.0003,0.9971704483032227
0.2,60,0.45920389890670776,5,0.6320459246635437,1.560170292854309,0.0003,0.9971216917037964
0.2,61,0.45797497034072876,5,0.6297688484191895,1.5656919479370117,0.0003,0.997080385684967
0.2,62,0.45701202750205994,5,0.6284065842628479,1.570038914680481,0.0003,0.9970475435256958
0.2,63,0.4562140703201294,5,0.627398669719696,1.574034333229065,0.0003,0.997019350528717
0.2,64,0.4554927349090576,5,0.6264777183532715,1.5783703327178955,0.0003,0.9969862103462219
0.2,65,0.45382457971572876,5,0.6246538758277893,1.584700584411621,0.0003,0.9969380497932434
0.2,66,0.45132818818092346,5,0.6213292479515076,1.5932633876800537,0.0003,0.9968686103820801
0.2,67,0.4483393132686615,5,0.6173703670501709,1.6026670932769775,0.0003,0.9967830181121826
0.2,68,0.4453616142272949,5,0.6138166189193726,1.6117652654647827,0.0003,0.9966906905174255
0.2,69,0.4428826570510864,5,0.6108619570732117,1.6199874877929688,0.0003,0.9966075420379639
0.2,70,0.44104814529418945,5,0.6081918478012085,1.6272016763687134,0.0003,0.9965343475341797
0.2,71,0.4398842453956604,5,0.6060224175453186,1.6329271793365479,0.0003,0.9964752793312073
