num_epochs,clip_range,ratios_max,ratios_mean,ratios_min,num_agents,learning_rate,approx_TV
0,0.3,1.0,1.0,1.0,5,0.0002,0.0
1,0.3,1.0078229904174805,0.9999747276306152,0.98851478099823,5,0.0002,0.011364340782165527
2,0.3,1.016443133354187,0.9999477863311768,0.9761696457862854,5,0.0002,0.023795880377292633
3,0.3,1.0254521369934082,0.9999205470085144,0.9634342789649963,5,0.0002,0.036827728152275085
4,0.3,1.0347479581832886,0.99989253282547,0.9505158066749573,5,0.0002,0.05029429495334625
5,0.3,1.0442918539047241,0.9998639822006226,0.9375112056732178,5,0.0002,0.06413418799638748
6,0.3,1.0540554523468018,0.9998356699943542,0.924477756023407,5,0.0002,0.07833810150623322
7,0.3,1.064018726348877,0.9998072981834412,0.9114460349082947,5,0.0002,0.09287430346012115
8,0.3,1.0741655826568604,0.9997796416282654,0.8984606266021729,5,0.0002,0.10772553831338882
9,0.3,1.084479570388794,0.9997530579566956,0.8855500817298889,5,0.0002,0.12283287197351456
10,0.3,1.0949567556381226,0.9997275471687317,0.8727040886878967,5,0.0002,0.13823853433132172
11,0.3,1.1056146621704102,0.9997026920318604,0.8599222898483276,5,0.0002,0.15398691594600677
12,0.3,1.1164560317993164,0.999678909778595,0.8471546173095703,5,0.0002,0.17003664374351501
13,0.3,1.1275428533554077,0.9996561408042908,0.8344528675079346,5,0.0002,0.18639704585075378
14,0.3,1.1396548748016357,0.9996340274810791,0.8218348026275635,5,0.0002,0.20307031273841858
15,0.3,1.1520261764526367,0.9996122121810913,0.8093201518058777,5,0.0002,0.22006171941757202
16,0.3,1.1646685600280762,0.9995911717414856,0.7968831658363342,5,0.0002,0.23740366101264954
17,0.3,1.1774965524673462,0.9995710253715515,0.7845306992530823,5,0.0002,0.25510817766189575
18,0.3,1.1906250715255737,0.9995519518852234,0.7722616195678711,5,0.0002,0.27314314246177673
19,0.3,1.2040579319000244,0.9995337128639221,0.7600754499435425,5,0.0002,0.2915053069591522
20,0.3,1.2178136110305786,0.9995169639587402,0.7479694485664368,5,0.0002,0.3102043867111206
21,0.3,1.2318581342697144,0.9995008111000061,0.7359413504600525,5,0.0002,0.32925501465797424
22,0.3,1.2461955547332764,0.9994853734970093,0.7239882349967957,5,0.0002,0.3488040566444397
23,0.3,1.2608712911605835,0.9994714260101318,0.7121146321296692,5,0.0002,0.36877721548080444
24,0.3,1.275879144668579,0.9994584321975708,0.7003120183944702,5,0.0002,0.38921666145324707
25,0.3,1.2912315130233765,0.9994460940361023,0.6885774731636047,5,0.0002,0.4100983142852783
26,0.3,1.3070214986801147,0.9994372725486755,0.6779652237892151,5,0.0002,0.431449830532074
27,0.3,1.3229098320007324,0.9994304180145264,0.6684176325798035,5,0.0002,0.4530232548713684
28,0.3,1.3378101587295532,0.999420166015625,0.659694492816925,5,0.0002,0.47416311502456665
29,0.3,1.3514223098754883,0.999405562877655,0.6517704129219055,5,0.0002,0.4945150315761566
30,0.3,1.3632915019989014,0.9993842244148254,0.6446428894996643,5,0.0002,0.51372230052948
31,0.3,1.3734395503997803,0.999354362487793,0.6381614804267883,5,0.0002,0.531802773475647
32,0.3,1.3805279731750488,0.9993078112602234,0.6325093507766724,5,0.0002,0.5476654767990112
33,0.3,1.3910212516784668,0.9992392659187317,0.6275224685668945,5,0.0002,0.560419499874115
34,0.3,1.4055250883102417,0.9991482496261597,0.6231680512428284,5,0.0002,0.5703724026679993
35,0.3,1.42119300365448,0.9990367293357849,0.6193250417709351,5,0.0002,0.5777825713157654
36,0.3,1.4372551441192627,0.9989061951637268,0.6161244511604309,5,0.0002,0.5830283761024475
37,0.3,1.4537688493728638,0.9987590312957764,0.6134645938873291,5,0.0002,0.5866132378578186
38,0.3,1.4707952737808228,0.9986035823822021,0.6113904714584351,5,0.0002,0.5894740223884583
39,0.3,1.4883564710617065,0.9984439611434937,0.6097030639648438,5,0.0002,0.5918002128601074
40,0.3,1.506260871887207,0.9982857704162598,0.6083428263664246,5,0.0002,0.5938596725463867
41,0.3,1.5246587991714478,0.9981316924095154,0.6072996258735657,5,0.0002,0.5954587459564209
42,0.3,1.5433423519134521,0.9979842305183411,0.6054342985153198,5,0.0002,0.5968263745307922
43,0.3,1.5619980096817017,0.9978465437889099,0.6019591093063354,5,0.0002,0.5977746248245239
44,0.3,1.580576777458191,0.9977188110351562,0.5991218686103821,5,0.0002,0.5988418459892273
45,0.3,1.5990179777145386,0.9976017475128174,0.5968681573867798,5,0.0002,0.6000261902809143
46,0.3,1.617161750793457,0.9974969029426575,0.5950441360473633,5,0.0002,0.6010119915008545
47,0.3,1.6350589990615845,0.9974037408828735,0.5935282111167908,5,0.0002,0.6018705368041992
48,0.3,1.6522135734558105,0.9973223209381104,0.5923185348510742,5,0.0002,0.6026089787483215
49,0.3,1.6687079668045044,0.9972496032714844,0.5913639068603516,5,0.0002,0.6033817529678345
50,0.3,1.6844842433929443,0.9971836805343628,0.5906458497047424,5,0.0002,0.6044119596481323
51,0.3,1.6995954513549805,0.9971244931221008,0.5901358723640442,5,0.0002,0.6057616472244263
52,0.3,1.714131236076355,0.9970716238021851,0.5897904634475708,5,0.0002,0.607525110244751
53,0.3,1.7281004190444946,0.9970256090164185,0.5896228551864624,5,0.0002,0.6098490953445435
54,0.3,1.741658329963684,0.9969859719276428,0.5896453261375427,5,0.0002,0.6125981211662292
55,0.3,1.7549066543579102,0.9969445466995239,0.5898949503898621,5,0.0002,0.6154671907424927
56,0.3,1.7678457498550415,0.9969015717506409,0.5903477072715759,5,0.0002,0.6181821823120117
